"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 02 03:30:10 UTC 2024","Tue Apr 02 03:30:13 UTC 2024","2907","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Apr 02 03:19:00 UTC 2024","Tue Apr 02 03:19:04 UTC 2024","4691","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Apr 02 04:44:59 UTC 2024","Tue Apr 02 04:45:02 UTC 2024","2894","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Apr 02 05:40:46 UTC 2024","Tue Apr 02 05:44:57 UTC 2024","250054","","18. Check Admin header","","","","2. Check Navbar",""
"failed","Tue Apr 02 06:48:49 UTC 2024","Tue Apr 02 06:51:26 UTC 2024","156519","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Apr 02 03:22:33 UTC 2024","Tue Apr 02 03:22:37 UTC 2024","3138","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"failed","Tue Apr 02 04:11:30 UTC 2024","Tue Apr 02 04:14:00 UTC 2024","150446","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Apr 02 05:49:58 UTC 2024","Tue Apr 02 05:49:59 UTC 2024","1546","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Tue Apr 02 03:26:56 UTC 2024","Tue Apr 02 03:27:17 UTC 2024","20804","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Tue Apr 02 06:48:37 UTC 2024","Tue Apr 02 06:48:40 UTC 2024","3025","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Apr 02 03:26:54 UTC 2024","Tue Apr 02 03:26:56 UTC 2024","1979","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"failed","Tue Apr 02 04:45:02 UTC 2024","Tue Apr 02 04:47:40 UTC 2024","158039","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Tue Apr 02 03:29:44 UTC 2024","Tue Apr 02 03:29:47 UTC 2024","2875","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Apr 02 03:18:36 UTC 2024","Tue Apr 02 03:18:51 UTC 2024","14809","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
